동사,빈도
산가의,1
튀김기,5
이끌며,1
띄고,1
넓히는,1
닦고,11
고치거나,1
합해,2
흔들리거나,1
기울어지고,1
뒤틀어진,1
드러낸다,1
운전하거나,2
가르치며,2
찾은,3
기르게,1
그리는,6
메우는,2
깔기,3
메워,1
무침,1
떠서,3
합쳐주는,1
홈파기,1
이루어졌는지,7
타기를,1
선주를,1
설계안을,5
열리는,4
가질,3
해의,2
얻어지는,4
알려주고,5
먹이기,1
부풀어지면,1
뜯어서,2
부풀리고,1
깎기,7
지니는,2
해도,2
되며,16
쏠림,2
닮은,1
보내,26
싣도록,1
부리기,1
누른다,27
부리는,1
올려놓고,87
녹는,2
보낸다,126
시키,18
열어,169
묻어있는,6
벗겨진,2
놓고,120
놓인,3
밀어놓는다,1
접는다,3
밀어,59
올려놓는다,102
찌그러짐,1
묻힌,4
닦아,32
걸고,49
들고자,1
닿지,2
당겨서,5
내려놓고,2
내린,8
빠져나온다,1
걸려오는,5
출기에,2
담기도,2
매달려,2
받아야,2
지나면,21
나오면,14
옮기고,6
가거나,3
않아,2
스며든,2
열고,176
꺼내,26
따라야,1
지나다니거나,1
지나가는,3
와서,1
경화시키는,1
닫고,32
일으키도록,1
뚫어,6
생기도록,1
잠그고,11
뜬다,5
집어,7
펼쳐진,3
접어서,5
박아주고,1
풀리지,7
쌓은,1
끌어내려,1
식힌다,5
꽂는다,9
펴서,11
밟는다,4
멈출,1
움직인다,6
튀어나온,6
담궈,6
담가,18
꺼낸,4
걸어,55
빗니,1
담그,1
잰다,8
클이,1
꺼내준다,1
내림,6
꺼내어,35
보내고,16
알리는,11
흐르는,11
개질,6
얻는,4
잡아당겨,12
새는지를,1
자재인지를,1
가에서,1
알려주기,1
나누어,16
새는,9
섞음,1
잠그어,1
끄고,8
올리거나,22
두어,6
조이거나,4
떨어지는,9
빼내,4
흔들리지,5
불어내어,1
살피거나,2
익히기,1
내주고,21
골라내어,2
내려,23
서는,23
작동시키는,5
찾아낸다,16
찍힘,5
긁,16
걸거나,11
눕혀,1
누르면,1
내려와,3
빨아들인다,1
작동시킨다,47
만져,9
뚫은,2
져,1
뚫린,7
당겨,30
꽂아,2
세워,16
펴놓고,3
떠,6
펴고,10
바로잡는다,2
접히는,1
다리거나,1
두드려,16
뽑을,1
조임,13
밟아,21
멈춤,5
빨아들이며,1
올라가,4
몰거나,2
닫는다,13
않으나,1
어리,1
말려서,1
벗겨지게,2
내주어,1
죽거나,5
병든,11
퍼지는,2
이루어지면,6
걸려서,3
오면,5
나고,1
되는지를,12
쓰일,14
본수,2
걸대,4
감기도록,5
올,3
나타내는,15
살피면서,1
풀어놓고,1
침줄을,1
바꿔,3
눌러,116
파낸다,5
썬,1
돌보거나,1
켜준다,4
가하며,1
보이도록,5
적힌,2
꽂고,4
갈라놓고,1
맞대어,4
꿰맨다,13
물려,2
꿰매고,5
꿰맨,2
접은,3
뚫어놓은,2
차면,6
뺀다,2
빼는,2
넘어오는,1
물릴,3
만들면,1
도와주기도,1
나와,4
물린다,11
골라내고,4
씻은,3
익히거나,5
볶는다,2
끓인,4
섞는다,4
누르면서,3
치입,3
갭,5
얻는다,11
뒤집어,13
끼울,2
덮는다,17
박거나,6
고치는,2
살펴,9
털어,6
뿌려,12
부서진,5
살핀다,13
묵은,3
긁어,9
섞거나,1
메움,1
하는지를,28
돌려준다,2
올려놓아,3
당겨주거나,1
구부린다,8
갈라짐,3
입기계를,1
해보아,1
나오는지,7
닿는,2
나지,5
보거나,9
나오지,6
않으면,9
빼고,7
두드려가며,1
커로,1
찌르거나,2
씌워,3
씻어내고,3
탈거하고,2
될수,1
적시에,3
서를,7
달아오른,1
담겨,2
들어오게,1
끼우는,5
시켜서,12
시켰다가,2
나타낼,2
삼는,1
막는,3
바를,4
용재를,5
나눈다,5
다듬은,1
설계사,2
접수하거나,2
지시하거나,13
외사,1
자를,17
이끌어내거나,1
했는지를,2
나면,8
놓치지,1
보이는,7
찾는다,20
버리,1
따져,1
다룰,1
해보거나,1
넘겨받을,1
앉기,3
일어서기,1
멘,1
가하면서,7
갈린,1
먹줄을,4
먹을,9
쌓고,6
박고,5
떨어져서,1
달대,1
오게,8
맞추며,2
들어가게,6
익힐,4
찍힌,2
돌리고,6
든,5
흔들어,7
열리도록,1
출주하거나,1
들어올,6
갖추도록,1
울릴,1
인수하거나,3
돕거나,1
이룰,5
간하거나,2
조를,3
끼워진,3
조인다,29
닦는다,20
끊어지면,8
새실을,1
붙들어,1
잡아당긴다,12
잇고,11
분말수지를,1
들어오면,17
돌아오는,2
이루어지,1
닫아,7
물려서,2
품은,16
넘긴다,9
담그거나,3
갖추어야,1
되돌려,4
맞고,2
불러주고,1
흐르도록,9
작동시키고,44
맞닿는,2
좁힌다,2
섞은,5
담근,8
닦아내고,5
감은,14
덧붙인다,1
누르고,5
꺼낸다,23
떨어뜨리는,2
섞는,4
와셔를,4
찢긴,1
늘어놓는다,1
달라붙은,3
녹이,3
끼는,1
끼었을,1
식히기,2
나가서,2
붓고,15
